e, e_dot, e_int, stamp, 
0.0023065027154118845, 0.008348915428032141, 0.00019719723503405524, 1731624634109488741, 
0.0019353144991893778, 0.003043166519973717, 0.0003336131513843498, 1731624634209603343, 
0.0019277432909312608, -0.001262531414935412, 0.0004340569224686553, 1731624634320552522, 
0.0023895222917968972, 0.001514025975358398, 0.00043753088353577925, 1731624634419531506, 
0.0024498546519287068, 0.0017403712033248198, 0.00042858172130111273, 1731624634510551387, 
0.002805281576945262, 0.001385864283827883, 0.0004894458165931788, 1731624634611605154, 
0.002453025195201519, 1.0568477576041365e-05, 0.0005421340886404636, 1731624634721548819, 
0.0011600126132695898, -0.0054842298789189075, 0.00044043938266118143, 1731624634817471841, 
0.00215012940842918, -0.001009652622574464, 0.0003621953322607997, 1731624634910088550, 
0.0033065521190582814, 0.0071551316859623055, 0.0004272755053996894, 1731624635011197966, 
0.0023384304865783356, 0.0006276702604971854, 0.000545685131671767, 1731624635120099053, 
0.0008213841352349149, -0.008283893279411222, 0.0004457246979836966, 1731624635217987056, 
-0.0001271797288895371, -0.008218700718226243, 0.00019184476940491236, 1731624635309879336, 
-0.0006615552658524315, -0.004943131336957822, 2.0890304955096292e-06, 1731624635409939781, 
-0.0008127897140774998, -0.0022853666172932088, -0.00011197260352452386, 1731624635519628089, 
-0.000780759280625265, -0.000397346715909445, -0.00015652238701672382, 1731624635618163928, 
-0.002057085357969335, -0.004147652146306117, -0.00023146318257887558, 1731624635709838743, 
-0.003168297109927387, -0.007958459431007073, -0.00038340568822856444, 1731624635809670741, 
-0.0032181550919050395, -0.0038702324464523485, -0.0005914142785466077, 1731624635919969014, 
-0.0036152255888706186, -0.0014897615964774384, -0.0007035634934269664, 1731624636020704382, 
-0.004301291863828993, -0.003610455906413179, -0.0007047572848231816, 1731624636109850831, 
-0.005071692329260191, -0.004854889134631908, -0.0008196697187124819, 1731624636210030640, 
-0.0051685481717616, -0.0028908543597753558, -0.0010163624749318396, 1731624636319532132, 
-0.0034743778649208856, 0.005324381547797685, -0.000963397612032586, 1731624636420768756, 
